,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Arsenal,3,3,0,0,9,2,7,9,3.0,5.4,1.8,3.5,1.18,W W W,60033.0,"Martin Ødegaard, Gabriel Jesus... - 2",Aaron Ramsdale,
1,2,Manchester City,3,2,1,0,9,3,6,7,2.33,6.6,2.3,4.3,1.45,W W D,,Erling Haaland - 3,Ederson,
2,3,Leeds United,3,2,1,0,7,3,4,7,2.33,4.6,3.0,1.6,0.52,W D W,36360.0,Rodrigo - 4,Illan Meslier,
3,4,Tottenham,3,2,1,0,7,3,4,7,2.33,4.1,2.8,1.4,0.46,W D W,61515.0,Harry Kane - 2,Hugo Lloris,
4,5,Brighton,3,2,1,0,4,1,3,7,2.33,4.2,2.6,1.6,0.54,W D W,31552.0,Pascal Groß - 2,Robert Sánchez,
5,6,Newcastle Utd,3,1,2,0,5,3,2,5,1.67,4.0,4.1,-0.2,-0.06,W D D,52252.0,Callum Wilson - 2,Nick Pope,
6,7,Fulham,3,1,2,0,5,4,1,5,1.67,4.4,4.1,0.3,0.1,D D W,22003.0,Aleksandar Mitrović - 3,Marek Rodák,
7,8,Brentford,3,1,1,1,8,5,3,4,1.33,3.7,3.2,0.5,0.16,D W L,,"Josh Dasilva, Ivan Toney - 2",David Raya,
8,9,Crystal Palace,3,1,1,1,4,4,0,4,1.33,5.5,4.0,1.6,0.53,L D W,12643.0,Wilfried Zaha - 3,Vicente Guaita,
9,10,Nott'ham Forest,3,1,1,1,2,3,-1,4,1.33,2.8,5.9,-3.2,-1.06,L W D,29281.0,"Brennan Johnson, Taiwo Awoniyi - 1",Dean Henderson,
10,11,Southampton,3,1,1,1,5,7,-2,4,1.33,2.3,3.8,-1.6,-0.52,L D W,,Che Adams - 2,Gavin Bazunu,
11,12,Chelsea,3,1,1,1,3,5,-2,4,1.33,3.7,3.5,0.3,0.09,W D L,39946.0,"Jorginho, Reece James... - 1",Edouard Mendy,
12,13,Aston Villa,3,1,0,2,3,6,-3,3,1.0,3.5,5.0,-1.5,-0.51,L W L,41883.0,"Emi Buendía, Ollie Watkins... - 1",Emiliano Martínez,
13,14,Bournemouth,3,1,0,2,2,7,-5,3,1.0,0.9,4.0,-3.1,-1.03,W L L,10718.0,"Jefferson Lerma, Kieffer Moore - 1",Mark Travers,
14,15,Liverpool,2,0,2,0,3,3,0,2,1.0,3.6,2.8,0.8,0.39,D D,,"Mohamed Salah, Luis Díaz... - 1",Alisson,
15,16,Everton,3,0,1,2,2,4,-2,1,0.33,3.8,4.3,-0.5,-0.18,L L D,39263.0,Demarai Gray - 1,Jordan Pickford,
16,17,Wolves,3,0,1,2,1,3,-2,1,0.33,2.7,3.4,-0.6,-0.21,L D L,31178.0,Daniel Podence - 1,José Sá,
17,18,Leicester City,3,0,1,2,5,8,-3,1,0.33,1.5,3.7,-2.3,-0.76,D L L,31322.0,James Maddison - 2,Danny Ward,
18,19,Manchester Utd,2,0,0,2,1,6,-5,0,0.0,2.5,3.3,-0.9,-0.43,L L,73711.0,,David de Gea,
19,20,West Ham,3,0,0,3,0,5,-5,0,0.0,3.2,5.3,-2.1,-0.69,L L L,31222.0,,Łukasz Fabiański,
